Date,4% plus daily,4% down daily,25% plus quarter,25% down quarter,Primary Breadth Trend,10 day ratio,25% plus Month,25% down Month,34/13D,MMA +,MMA -,50% plus month,50% down month,Secondary Trend,34/13 bull,34/13 bear,MMA + (Raw),MMA - (Raw),Total (no ETF)
,,,,,,,,,,,,,,,,,,,
12/31/2010,58,29,1297,150,extreme,2.77,95,12,1365,,,6,1,neutral,1641,276,,,5928
12/30/2010,87,17,1347,149,extreme,2.86,107,13,1434,,,7,1,neutral,1716,282,,,5928
12/29/2010,110,44,1362,163,extreme,2.40,153,12,1415,,,12,1,neutral,1721,306,,,5932
12/28/2010,105,45,1371,170,extreme,2.03,134,12,1319,,,10,1,neutral,1684,365,,,5932
12/27/2010,93,23,1423,166,extreme,1.86,140,13,1330,,,12,1,neutral,1729,399,,,5948
12/23/2010,81,25,1489,162,extreme,1.92,119,13,1247,,,11,2,neutral,1665,418,,,5948
12/22/2010,113,51,1501,150,extreme,1.92,176,13,1299,,,11,3,neutral,1727,428,,,5949
12/21/2010,181,37,1490,157,extreme,1.85,136,13,1294,,,10,2,neutral,1761,467,,,5947
12/20/2010,132,62,1392,169,extreme,1.61,122,12,1142,,,10,2,neutral,1632,490,,,5947
12/17/2010,191,83,1403,179,extreme,1.69,113,14,1265,,,10,2,neutral,1685,420,,,5946
12/16/2010,141,45,1381,183,extreme,1.69,142,13,1196,,,10,1,neutral,1632,436,,,5918
12/15/2010,80,97,1319,189,extreme,1.80,132,10,1001,,,9,2,neutral,1527,526,,,5916
12/14/2010,69,117,1381,180,extreme,2.25,111,22,1109,,,9,3,neutral,1637,528,,,5930
12/13/2010,90,91,1378,162,extreme,2.16,112,19,1139,,,7,3,neutral,1638,499,,,5906
12/10/2010,171,42,1482,163,extreme,2.26,86,20,1281,,,7,2,neutral,1729,448,,,5927
12/9/2010,133,54,1441,168,extreme,2.12,74,27,1137,,,3,4,neutral,1606,469,,,5924
12/8/2010,105,71,1425,173,extreme,2.34,79,29,1095,,,3,4,neutral,1559,464,,,5921
12/7/2010,112,98,1482,167,extreme,2.08,68,32,1115,,,1,5,neutral,1555,440,,,5935
12/6/2010,172,48,1449,155,extreme,2.20,78,30,1144,,,4,3,neutral,1555,411,,,5911
12/3/2010,144,57,1419,178,extreme,2.11,74,33,1049,,,4,3,neutral,1483,434,,,5935
12/2/2010,229,48,1412,186,extreme,2.38,107,29,951,,,8,3,neutral,1408,457,,,5935
12/1/2010,291,49,1505,191,extreme,2.14,86,29,700,,,7,4,neutral,1233,533,,,5934
