 ,,,,,,,,,,,Secondary Indicators,,,,,,
Date,4% plus daily,4% down daily,5 day breadth ratio,10 day breadth ratio,Bottom Day,TNA Vbbee buy/sale,25% plus  quarter,25% down quarter,Primary Breadth Ratio,,25% plus month,25% down month,50% plus month,50% down month,34/13 bull,34/13 bear,Common Stocks
12/30/2011,106,49,0.92,2.13,,,1270,425,2.99,,34,26,8,2,1301,734,5771
12/29/2011,106,38,1.10,2.01,,,1303,438,2.97,,38,33,7,2,1372,744,5773
12/28/2011,39,232,0.92,1.51,,,1204,491,2.45,,69,23,11,3,1140,874,5774
12/27/2011,58,75,4.90,1.39,,,1393,430,3.24,,93,20,12,3,1511,813,5774
12/23/2011,75,22,3.72,1.26,,,1388,413,3.36,,197,13,14,3,1491,790,5774
12/22/2011,189,59,3.31,1.48,,,1382,424,3.26,,145,13,14,3,1406,849,5774
12/21/2011,75,87,2.88,0.99,,,1295,465,2.78,,72,24,14,1,1236,973,5775
12/20/2011,926,27,1.94,1.02,,,1270,478,2.66,,60,27,9,2,1177,985,5775
12/19/2011,25,152,0.41,0.55,,,966,631,1.53,,25,54,10,2,690,1347,5775
12/16/2011,189,99,0.41,0.70,,,1105,531,2.08,,30,45,6,2,889,1136,5775
12/15/2011,85,87,0.65,0.70,,,1030,574,1.79,,28,66,8,2,796,1335,5774
12/14/2011,68,303,0.39,0.71,,,967,582,1.66,,22,68,7,4,710,1464,5770
12/13/2011,35,331,0.49,2.16,,,1044,518,2.02,,25,49,9,4,809,1275,5785
12/12/2011,42,194,0.69,2.64,9,,1206,424,2.84,,25,39,8,3,1130,1071,5784
12/9/2011,376,22,1.09,4.30,8,,1348,386,3.49,,37,26,6,3,1437,911,5783
12/8/2011,26,557,0.75,3.98,7,,1094,479,2.28,,30,34,3,4,957,1152,5781
12/7/2011,89,61,2.32,3.96,6,,1402,388,3.61,,30,54,2,3,1654,837,5782
12/6/2011,89,63,9.63,3.71,5,,1395,395,3.53,,30,49,3,4,1687,826,5782
12/5/2011,229,41,8.65,2.78,4,,1411,380,3.71,,34,50,3,4,1733,820,5780
12/2/2011,154,56,12.26,2.59,3,,1262,439,2.87,,26,62,2,4,1485,924,5780
12/1/2011,82,56,13.72,2.17,2,,1207,487,2.48,,35,57,3,4,1363,996,5781
11/30/2011,1951,44,4.55,1.99,1,,1279,461,2.77,,56,46,3,6,1549,910,5779
11/29/2011,101,94,1.89,1.01,-4,,798,652,1.22,,19,121,3,8,652,1561,5780
