Primary Indicators,,,,,,,,,,,Secondary Indicators,,,,,,,,,
Date,4% plus daily,4% down daily,5 day breadth ratio,10 day breadth ratio,Bottom Day,TNA Vbbee buy/sale,25% plus  quarter,25% down quarter,Primary Breadth Ratio,,25% plus month,25% down month,50% plus month,50% down month,34/13 bull,34/13 bear,Common Stocks,T2108,c>avgc5 ,c<avgc5 
12/31/2013,99,33,2.72,3.21,,,928,274,3.39,,93,13,24,1,1208,355,5821,62.67,1821,1019
12/30/2013,108,55,2.97,3.18,,,908,276,3.29,,76,18,19,1,1174,384,5821,60.34,1475,985
12/27/2013,88,28,4.54,3.32,,,914,280,3.26,,82,19,19,1,1199,380,5821,60.53,1712,777
12/26/2013,118,42,4.02,2.98,,,925,282,3.28,,90,17,23,1,1302,402,5822,61.31,2082,458
12/24/2013,49,12,4.02,2.05,,,908,296,3.07,,93,16,25,1,1307,432,5821,61.11,2700,448
12/23/2013,124,27,3.57,1.92,,,865,309,2.80,,92,16,24,2,1260,482,5821,58.78,2642,521
12/20/2013,389,60,3.32,1.72,,,793,325,2.44,,79,18,12,1,1119,555,5822,52.52,2377,691
12/19/2013,108,55,2.48,1.32,,,678,346,1.96,,82,23,11,3,927,630,5822,44.83,2009,1093
12/18/2013,118,42,2.20,1.26,,,703,348,2.02,,77,27,12,2,978,622,5821,45.68,2396,638
12/17/2013,106,53,1.16,1.22,,,654,362,1.81,,74,24,12,2,867,705,5821,36.77,1945,1090
12/16/2013,161,56,1.09,1.11,,,680,362,1.88,,64,35,14,2,883,755,5819,38.25,1827,1188
12/13/2013,111,38,0.87,0.85,,,635,380,1.67,,57,40,9,2,795,836,5866,33.39,988,2050
12/12/2013,85,75,0.80,0.83,,,612,388,1.58,,46,41,11,1,752,888,5862,31.45,593,2453
12/11/2013,44,214,0.80,0.88,,,595,391,1.52,,50,33,10,0,769,886,5858,33.52,541,2440
12/10/2013,107,83,1.28,1.20,,,711,367,1.94,,56,32,10,1,943,754,5854,44.18,1413,1515
12/9/2013,83,85,1.12,1.19,,,769,360,2.14,,75,27,13,1,1012,749,5854,47.53,1753,1145
12/6/2013,111,83,0.84,1.28,,,820,350,2.34,,104,24,13,1,1031,722,5852,47.87,1726,1190
12/5/2013,92,78,0.86,1.44,,,790,365,2.16,,74,28,12,3,959,773,5848,40.79,961,2032
12/4/2013,119,71,0.96,1.38,,,795,334,2.38,,67,36,10,3,971,731,5848,45.49,776,1630
12/3/2013,54,92,1.12,1.25,,,837,343,2.44,,71,34,7,4,1010,728,5848,49.13,679,1706
12/2/2013,91,231,1.25,1.17,,,905,324,2.79,,82,27,12,4,1134,684,5848,51.19,954,1418
11/29/2013,62,14,2.25,1.56,,,969,290,3.34,,98,25,14,4,1266,630,5838,56.78,1785,1047
11/27/2013,105,39,2.40,1.52,,,967,309,3.13,,106,34,17,5,1253,647,5840,55.46,1862,1028
11/26/2013,168,53,1.90,1.58,,,927,326,2.84,,74,49,11,8,1234,664,5839,55.27,1793,1099
11/25/2013,106,89,1.39,1.38,,,875,335,2.61,,75,56,12,7,1326,698,5839,55.11,1754,1122
11/22/2013,124,56,1.11,1.48,,,867,340,2.55,,67,59,8,8,1336,669,5840,56.08,1932,952
11/21/2013,193,53,1.18,1.60,,,805,338,2.38,,59,74,8,9,1252,703,5834,53.89,1667,1227
11/20/2013,70,96,1.01,1.10,,,724,367,1.97,,51,82,7,7,1040,785,5825,48.94,781,2139
11/19/2013,58,103,1.33,1.04,,,745,344,2.17,,49,93,9,9,1066,753,5823,52.79,925,1929
11/18/2013,78,164,1.37,1.08,,,800,327,2.45,,72,88,9,8,1123,702,5835,56.74,1497,1332
11/15/2013,159,55,1.99,1.32,,,829,289,2.87,,87,74,10,8,1210,629,5834,58.61,2079,719
11/14/2013,138,81,2.16,1.20,,,808,299,2.70,,80,67,7,6,1152,660,5830,55.09,1989,804
