Primary  Indicators,,,,,,,Secondary Indicators,,,,,,,,,
Date,Number of stocks up 4% plus today,Number of stocks  down 4% plus today ,5 day breadth ratio of 4% up/4% down,10 day breadth ratio of 4% up/4% down,Number of stocks up 25% plus in a  quarter,Number of stocks 25% down plus in a quarter,Number of stocks  up 25% + in a month,Number of stocks down 25% + in a month,Number of stocks up 50% + in a month,Number of stocks down 50% + in a month,Number of stocks up 13% + in 34 days,Number of stocks down 13% + in 34 days,Number of stocks in Worden Common stock universe,T2108 (% of stocks above 40 day MA),$BPNYA,S&P
,,,,,,,,,,,,,,,,
12/31/2014,111,60,1.55,2.50,1071,531,76,40,15,1,1127,816,6263,49.53,D,2058.9
12/30/2014,98,91,1.22,2.26,1083,552,89,45,18,2,1190,817,6263,53.03,D,2080.35
12/29/2014,121,119,1.21,1.65,1116,548,78,66,15,6,1256,817,6262,52.89,U,2090.57
12/26/2014,139,48,1.77,1.47,1122,537,69,104,13,5,1233,791,6261,53.75,U,2088.77
12/24/2014,37,8,2.19,1.38,1040,564,70,116,15,6,1135,851,6261,51.69,U,2081.88
12/23/2014,100,141,3.24,1.09,1028,564,69,118,12,7,1133,893,6262,52.3,U,2082.17
12/22/2014,79,77,3.25,1.24,996,575,79,136,18,10,1138,914,6263,50.58,U,2078.54
12/19/2014,325,111,1.88,0.95,975,583,82,112,20,6,1141,912,6266,49.76,U,2070.65
12/18/2014,308,50,1.34,0.86,907,624,90,123,21,5,1053,973,6262,46.51,U,2061.23
12/17/2014,531,35,1.03,0.71,787,687,66,136,12,6,879,1110,6228,37.48,U,2012.89
12/16/2014,139,152,0.36,0.53,598,798,54,206,9,1,619,1360,6256,26.86,D,1972.74
12/15/2014,62,378,0.49,0.54,632,791,57,221,10,26,646,1342,6253,29.74,D,1989.63
12/12/2014,84,226,0.42,0.50,680,744,70,176,10,17,803,1215,6254,35.82,D,2002.33
12/11/2014,122,117,0.51,0.45,730,713,67,193,11,18,917,1102,6247,44.6,d,2035.33
12/10/2014,42,364,0.46,0.44,702,726,74,195,11,16,910,1085,6206,45.06,d,2026.14
12/9/2014,254,61,0.75,0.51,862,656,82,145,12,13,1313,904,6205,55.2,D,2059.82
12/8/2014,50,534,0.61,0.47,744,713,74,177,8,21,1145,1014,6204,54.12,D,2060.31
12/5/2014,138,104,0.60,0.68,836,639,86,98,10,8,1385,868,6204,58.61,U,2075.37
12/4/2014,84,165,0.39,0.74,776,643,85,103,7,7,1383,885,6201,59.21,D,2071.92
12/3/2014,162,55,0.42,0.74,797,621,75,80,9,4,1544,826,6201,62.16,U,2074.33
12/2/2014,133,74,0.34,0.72,722,667,65,118,10,5,1516,873,6196,59.7,D,2066.55
12/1/2014,87,615,0.37,0.65,650,696,53,120,9,7,1501,915,6194,56.52,D,2053.44
11/28/2014,36,392,0.81,1.03,764,609,83,81,9,4,1814,768,6194,63.51,D,2067.56
11/26/2014,88,70,2.31,1.29,838,524,103,34,13,5,2077,549,6195,69.99,U,2072.83
11/25/2014,78,87,1.80,1.32,807,523,88,37,14,4,2055,553,6197,69.05,U,2067.03
11/24/2014,153,35,2.10,1.35,823,507,139,30,15,4,2046,587,6198,68.98,U,2069.41
11/21/2014,159,51,1.40,1.23,722,533,104,35,13,4,1957,616,6196,68.3,U,2063.5
11/20/2014,191,47,1.33,1.24,696,558,105,32,10,3,1868,682,6195,65.62,U,2052.75
11/19/2014,66,140,0.82,1.11,594,603,121,34,12,4,1692,757,6196,62.94,D,2048.71
11/18/2014,142,66,1.00,1.12,668,574,122,47,15,5,1875,689,6190,64.29,U,2051.8
11/17/2014,70,146,0.91,0.94,631,584,130,48,16,5,1787,740,6185,63.33,D,2041.32
11/14/2014,160,73,1.08,0.99,682,577,174,42,15,6,1895,705,6184,64.14,U,2039.82
11/13/2014,66,193,1.17,1.06,654,592,175,52,20,7,1875,763,6180,63.56,U,2039.33
11/12/2014,117,75,1.47,1.18,709,541,240,39,23,6,2066,694,6174,66.69,U,2038.25
11/11/2014,114,90,1.23,1.12,688,546,262,31,25,5,1997,698,6172,66.08,U,2039.68
11/10/2014,112,96,0.97,1.48,682,551,291,33,24,7,2011,722,6171,65.14,U,2038.26
11/7/2014,243,103,0.92,1.34,639,547,239,37,25,5,1935,725,6174,64.98,U,2031.92
11/6/2014,150,136,0.97,1.26,637,564,174,50,13,3,1842,754,6169,63.16,U,2031.21
11/5/2014,134,185,0.99,1.40,599,561,90,75,11,3,1770,793,6162,62.16,U,2023.57
11/4/2014,90,233,1.03,1.31,592,561,124,63,13,4,1715,835,6161,59.65,D,2012.1
11/3/2014,76,93,2.19,1.68,628,529,93,61,11,6,1816,764,6157,62.83,U,2017.81
10/31/2014,302,126,1.82,1.82,650,501,73,59,10,5,1855,747,6154,63,U,2018.05
10/30/2014,176,146,1.63,1.73,541,538,69,69,8,5,1562,840,6154,56.73,U,1994.65
10/29/2014,100,126,2.02,2.05,479,563,73,57,8,6,1369,874,6153,53.31,U,1982.3
10/28/2014,531,50,1.64,2.30,481,546,55,71,8,5,1383,875,6150,55.3,U,1985.05
10/27/2014,60,193,1.23,1.74,377,636,31,96,8,9,885,1097,6148,43.08,D,1961.63
10/24/2014,107,82,1.82,1.63,384,601,40,77,11,7,946,1047,6145,43.86,U,1964.58
10/23/2014,243,64,1.86,1.17,358,608,41,70,8,5,875,1096,6144,39.08,U,1950.82
10/22/2014,59,220,2.08,0.86,299,674,27,102,9,7,620,1282,6144,33.21,U,1927.11
10/21/2014,302,66,3.51,1.00,348,614,35,77,8,6,845,1152,6140,36.59,U,1941.28
10/20/2014,128,30,2.49,0.75,308,667,29,94,8,11,621,1384,6139,27.32,U,1904.01
10/17/2014,155,98,1.50,0.68,274,713,23,147,7,13,512,1556,6132,21.3,U,1886
10/16/2014,298,39,0.85,0.66,309,717,24,156,6,12,553,1662,6130,19.91,D,1862.76
