Primary  Indicators,,,,,,,Secondary Indicators,,,,,,,,
Date,Number of stocks up 4% plus today,Number of stocks  down 4% plus today ,5 day breadth ratio of 4% up/4% down,10 day breadth ratio of 4% up/4% down,Number of stocks up 25% plus in a  quarter,Number of stocks 25% down plus in a quarter,Number of stocks  up 25% + in a month,Number of stocks down 25% + in a month,Number of stocks up 50% + in a month,Number of stocks down 50% + in a month,Number of stocks up 13% + in 34 days,Number of stocks down 13% + in 34 days,Number of stocks in Worden Common stock universe,T2108 (% of stocks above 40 day MA),S&P
,,,,,,,  ,,,,,,,,
12/31/2015,154,73,0.72,1.09,692,726,33,74,8,8,858,1034,5484,31.58,2043.93
12/30/2015,62,117,1.15,1.21,745,717,35,109,10,13,886,1043,5461,34.91,2063.36
12/29/2015,117,78,1.50,1.37,825,661,43,96,12,10,1013,967,5461,39.78,2078.36
12/28/2015,71,337,1.50,1.06,790,702,41,105,13,10,922,1078,5469,35.55,2055.17
12/24/2015,48,19,2.06,0.94,861,645,44,86,11,8,1071,1028,5469,36.72,2060.98
12/23/2015,383,39,1.41,0.96,832,667,51,86,11,7,1068,1072,5470,36.23,2064.29
12/22/2015,187,64,1.26,0.78,699,735,46,98,10,8,826,1325,5471,28.04,2038.97
12/21/2015,97,65,1.27,0.71,663,822,57,123,11,9,721,1479,5471,22.62,2021.15
12/18/2015,197,256,0.86,0.58,608,877,62,135,13,10,663,1580,5476,20.05,2005.55
12/17/2015,117,270,0.58,0.57,632,867,56,139,9,13,678,1461,5472,25.67,2041.89
12/16/2015,328,78,0.69,0.55,671,816,72,113,13,8,754,1332,5472,29.98,2073.07
12/15/2015,226,91,0.50,0.42,580,896,53,135,5,14,613,1552,5471,21.52,2043.41
12/14/2015,74,404,0.39,0.39,527,951,41,138,8,13,570,1729,5472,15.98,2021.94
12/11/2015,41,518,0.36,0.48,554,898,38,100,7,12,636,1588,5472,17.07,2011.37
12/10/2015,138,78,0.55,0.60,675,769,41,90,4,10,824,1301,5476,26.35,2055.08
12/9/2015,156,168,0.41,0.62,649,785,29,119,4,10,831,1343,5474,27.38,2047.62
12/8/2015,106,143,0.34,0.72,709,779,26,157,3,14,911,1293,5474,30.58,2063.59
12/7/2015,54,483,0.39,0.78,724,773,25,168,3,15,957,1269,5480,36.17,2077.07
12/4/2015,141,202,0.65,1.04,829,651,47,112,7,12,1095,1066,5479,43.16,2091.69
12/3/2015,61,257,0.67,1.04,785,652,45,116,4,12,1012,1101,5476,36.96,2049.76
12/2/2015,86,233,1.08,1.36,879,586,68,111,7,12,1168,978,5474,45.83,2079.51
12/1/2015,144,85,1.98,1.37,959,552,85,94,11,15,1362,896,5474,54.66,2102.63
11/30/2015,189,174,2.01,1.34,925,567,117,76,15,13,1306,922,5477,51.79,2080.41
11/27/2015,38,23,2.00,1.20,929,558,124,82,13,11,1333,900,5476,53.63,2090.11
11/25/2015,154,52,1.60,0.99,931,551,104,91,15,11,1321,930,5479,53.53,2088.87
11/24/2015,262,63,1.66,0.82,904,592,137,82,21,8,1204,976,5476,52.04,2089.14
11/23/2015,176,96,1.02,0.66,873,634,111,114,14,15,1096,1066,5477,50.15,2086.59
11/20/2015,123,142,0.96,0.58,832,680,104,128,11,15,1077,1111,5477,49.91,2089.17
11/19/2015,101,156,0.84,0.61,791,688,118,123,13,13,1010,1118,5475,49.81,2081.24
11/18/2015,219,74,0.66,0.61,801,676,128,120,16,12,1170,1068,5470,49.68,2083.58
11/17/2015,100,237,0.42,0.55,722,729,82,159,12,15,1141,1184,5470,42.92,2050.44
11/16/2015,152,114,0.44,0.70,735,718,72,134,8,13,1212,1100,5471,46.2,2053.19
11/13/2015,111,235,0.36,0.85,687,749,63,154,7,12,1201,1184,5471,38.12,2033.04
11/12/2015,56,304,0.45,0.91,709,725,78,164,6,14,1345,1104,5469,43.47,2045.97
11/11/2015,64,250,0.56,1.00,817,671,141,105,12,9,1609,938,5471,52.59,2075
11/10/2015,111,227,0.70,1.43,882,623,155,91,16,10,1723,883,5464,55.62,2081.71
11/9/2015,91,195,1.04,1.30,911,619,118,83,8,11,1753,850,5463,55.38,2078.68
11/6/2015,215,207,1.67,1.30,983,575,118,88,11,12,1945,753,5463,61.66,2099.2
11/5/2015,146,243,1.74,1.34,931,577,103,74,13,7,1869,792,5461,64.09,2099.93
11/4/2015,146,141,1.79,1.42,952,567,116,61,13,4,1902,761,5461,66.17,2102.31
11/3/2015,315,92,2.77,1.23,958,566,143,51,18,3,1925,741,5439,69.18,2109.79
11/2/2015,404,49,1.57,1.08,867,636,115,58,15,5,1859,822,5458,67.5,2104.05
10/30/2015,129,130,1.02,0.85,714,734,126,60,17,7,1506,970,5458,60.26,2079.36
10/29/2015,119,209,1.06,0.84,698,743,164,48,23,7,1540,969,5456,60.99,2089.41
10/28/2015,557,71,1.18,1.06,727,712,169,45,19,5,1697,898,5454,64.27,2090.35
10/27/2015,93,370,0.51,0.79,565,825,153,44,18,5,1277,1087,5454,55.15,2065.89
10/26/2015,88,185,0.65,0.84,664,748,154,46,17,6,1485,950,5455,63.47,2071.18
10/23/2015,178,138,0.67,0.87,730,727,110,70,12,10,1610,872,5455,65.6,2075.15
10/22/2015,208,192,0.59,0.90,660,761,69,112,8,14,1527,908,5453,63.8,2052.51
10/21/2015,39,296,0.91,0.96,605,784,64,111,10,16,1279,938,5451,59.61,2018.94
10/20/2015,96,133,1.37,1.43,693,730,68,93,8,13,1521,798,5450,67.48,2033.77
10/19/2015,84,141,1.13,1.56,680,718,51,86,6,14,1561,794,5448,64.93,2033.66
10/16/2015,85,109,1.16,2.18,721,729,46,113,6,15,1553,775,5448,65.4,2033.11
10/15/2015,348,40,1.38,2.74,730,743,36,119,5,13,1585,767,5439,65.97,2023.86
10/14/2015,141,126,1.02,2.23,597,859,28,140,4,14,1238,940,5438,57.55,1994.24
10/13/2015,50,212,1.50,2.56,591,868,42,136,6,13,1318,879,5442,59.94,2003.69
10/12/2015,68,112,2.20,2.37,658,807,65,97,8,9,1684,473,5442,65.32,2017.46
10/9/2015,156,63,3.91,1.35,750,752,62,100,9,9,1732,706,5440,65.4,2014.89
10/8/2015,180,71,4.96,1.06,725,771,56,104,8,11,1721,740,5430,65.03,2013.43
