,Primary Breadth Indicators,,,,,,Secondary Breadth Indicators,,,,,,,,,  
Date,Number of stocks up 4% plus today,Number of stocks down 4% plus today,5 day ratio,10 day  ratio ,Number of stocks up 25% plus in a quarter,Number of stocks down 25% + in a quarter,Number of stocks up 25% + in a month,Number of stocks down 25% + in a month,Number of stocks up 50% + in a month,Number of stocks down 50% + in a month,Number of stocks up 13% + in 34 days,Number of stocks down 13% + in 34 days, Worden Common stock universe,T2108 ,S&P,
,,,,,,,,,,,,,,,,
12/29/2017,76,100,1.73,2.06,701,399,57,21,15,2,1094,527,4822,60.64,"2,673.61",
12/28/2017,95,47,2.65,2.00,743,383,77,21,18,2,1200,489,4821,63.97,"2,687.54",
12/27/2017,93,41,2.81,2.09,749,395,70,22,15,2,1196,520,4818,63.07,"2,682.62",
12/26/2017,138,43,2.33,1.90,776,398,90,28,17,3,1236,519,4818,63.29,"2,680.50",
12/22/2017,94,56,2.27,1.76,738,409,83,29,14,3,1212,557,4819,63.26,"2,683.34",
12/21/2017,173,37,2.37,1.83,780,397,80,23,12,2,1210,539,4818,63.46,"2,684.57",
12/20/2017,139,50,1.64,1.72,727,401,75,23,13,3,1143,601,4816,61.25,"2,679.25",
12/19/2017,90,86,1.68,1.37,708,427,76,32,13,4,1098,658,4815,60.33,"2,681.47",
12/18/2017,124,44,1.62,1.31,749,417,85,27,15,3,1163,635,4816,65.29,"2,690.16",
12/15/2017,214,95,1.49,1.12,702,430,82,26,11,2,1061,710,4824,59.46,"2,675.81",
12/14/2017,79,120,1.46,1.05,648,445,78,25,8,3,955,788,4824,51.15,"2,652.01",
12/13/2017,180,63,1.80,1.17,709,421,87,21,16,4,1061,727,4822,56.98,"2,662.85",
12/12/2017,106,111,1.12,1.06,710,448,71,31,16,4,1035,760,4812,58.13,"2,664.11",
12/11/2017,163,110,1.05,1.17,725,428,75,35,16,4,1056,739,4812,59.73,"2,659.99",
12/8/2017,119,40,0.83,1.06,777,442,81,31,19,4,1050,769,4812,57.89,"2,651.50",
12/7/2017,131,65,0.78,1.04,772,470,81,39,22,4,1007,808,4808,55.46,"2,636.98",
12/6/2017,63,193,0.82,1.07,726,496,81,44,16,5,924,885,4811,52.90,"2,629.27",
12/5/2017,67,111,1.02,1.26,783,459,78,54,14,5,1001,803,4810,56.48,"2,629.57",
12/4/2017,141,215,1.27,1.38,843,445,97,45,17,4,1127,772,4906,60.69,"2,639.44",
12/1/2017,109,71,1.30,1.71,849,411,93,42,16,3,1122,683,4906,60.63,"2,642.22",
11/30/2017,187,99,1.35,1.93,880,394,115,44,20,1,1144,684,4898,60.48,"2,647.58",
11/29/2017,177,174,1.42,1.79,904,399,91,59,15,2,1129,733,4895,59.75,"2,626.07",
11/28/2017,186,70,1.68,1.58,898,405,112,58,19,1,1073,743,4895,58.24,"2,627.04",
11/27/2017,114,180,1.57,1.41,816,401,91,65,21,1,973,790,4895,51.52,"2,601.42",
11/24/2017,70,21,2.70,1.61,861,386,114,60,23,3,1009,741,4898,53.33,"2,602.42",
11/22/2017,131,34,3.12,1.53,864,395,122,70,20,3,984,783,4899,53.28,"2,597.08",
11/21/2017,140,77,2.31,1.37,856,405,101,76,15,4,965,835,4899,53.21,"2,599.03",
11/20/2017,146,72,1.50,1.19,841,419,94,85,17,4,893,862,4900,49.78,"2,582.14",
11/17/2017,170,39,1.30,1.24,805,424,76,99,12,4,833,887,4895,47.86,"2,578.85",
11/16/2017,243,44,1.16,1.16,775,438,78,98,12,3,755,945,4890,45.79,"2,585.64",
11/15/2017,100,114,0.91,0.99,677,475,58,117,10,3,656,1064,4887,41.07,"2,564.62",
11/14/2017,99,237,0.93,0.98,711,466,72,108,9,2,690,1039,4888,44.93,"2,578.87",
11/13/2017,106,120,0.98,1.14,756,434,69,101,15,4,741,961,4889,47.79,"2,584.84",
11/10/2017,140,77,1.20,1.13,793,416,67,98,9,4,812,928,4889,48.06,"2,582.30",
11/9/2017,179,136,1.15,1.12,788,415,56,104,8,7,801,939,4883,48.52,"2,584.62",
11/8/2017,167,175,1.07,1.08,785,417,47,100,5,10,825,883,4883,50.42,"2,594.38",
11/7/2017,111,210,1.03,1.04,778,406,44,90,8,11,816,835,4883,51.13,"2,590.64",
11/6/2017,226,87,1.31,1.11,837,367,47,65,9,6,916,749,4883,54.48,"2,591.13",
11/3/2017,163,127,1.05,0.95,802,377,36,73,8,8,847,755,4883,52.93,"2,587.84",
11/2/2017,174,190,1.09,0.97,802,379,34,68,6,5,844,754,4879,54.14,"2,579.85",
11/1/2017,122,156,1.10,0.99,769,379,31,49,5,5,840,734,4877,55.05,"2,579.36",
10/31/2017,171,91,1.04,1.04,811,369,32,39,5,6,908,692,4876,56.75,"2,575.26",
10/30/2017,76,108,0.90,0.95,763,389,30,41,5,5,830,715,4886,53.00,"2,572.83",
10/27/2017,175,112,0.83,0.93,834,398,34,41,7,3,994,685,4887,59.27,"2,581.07",
10/26/2017,125,143,0.83,0.83,779,414,36,42,9,3,996,725,4892,56.13,"2,560.40",
10/25/2017,80,149,0.86,0.81,744,392,44,35,9,3,1068,681,4885,57.17,"2,557.15",
10/24/2017,92,97,1.05,0.91,783,369,54,31,14,2,1205,632,4885,62.79,"2,569.13",
10/23/2017,49,123,1.03,0.94,776,369,56,25,14,3,1187,608,4886,63.52,"2,564.98",
10/20/2017,122,49,1.09,1.02,812,335,52,24,16,5,1320,540,4888,67.12,"2,575.21",
10/19/2017,69,62,0.81,0.93,776,351,53,24,15,6,1270,547,4886,66.52,"2,562.10",
10/18/2017,83,66,0.77,1.01,793,340,49,21,13,6,1299,535,4884,67.63,"2,561.26",
10/17/2017,67,78,0.79,1.01,781,335,48,21,12,6,1298,496,4882,68.40,"2,559.36",
10/16/2017,63,114,0.86,1.10,814,329,49,20,12,6,1431,484,4884,69.86,"2,557.64",
10/13/2017,61,101,0.95,1.35,811,316,53,21,15,6,1456,430,4882,72.01,"2,553.17",
10/12/2017,73,94,1.06,1.54,835,302,62,20,14,5,1535,395,4880,72.75,"2,550.93",
10/11/2017,90,62,1.32,1.69,854,279,64,18,17,4,1624,331,4877,72.59,"2,555.24",
10/10/2017,84,60,1.28,1.93,871,280,69,15,11,4,1656,314,4878,72.59,"2,550.64",
10/9/2017,87,100,1.39,1.93,871,284,74,16,12,4,1626,305,4880,71.41,"2,544.73",
10/6/2017,86,81,1.89,2.02,882,265,94,15,14,4,1753,275,4878,73.78,"2,549.33",
10/5/2017,106,39,2.25,2.18,927,261,95,18,16,5,1799,260,4877,76.87,"2,552.07",
10/4/2017,98,80,2.13,2.08,883,266,93,14,15,5,1743,263,4875,75.38,"2,537.74",
10/3/2017,114,54,2.81,2.23,891,250,112,14,18,5,1765,255,4874,74.93,"2,534.58",
10/2/2017,179,54,2.59,2.10,887,255,109,16,17,5,1733,259,4873,73.29,"2,529.12",
9/29/2017,111,43,2.13,1.97,796,262,114,13,16,5,1557,292,4873,71.25,"2,519.36",
9/28/2017,101,52,2.13,1.84,796,261,121,13,18,4,1590,296,4873,70.14,"2,510.06",
9/27/2017,244,64,2.04,1.80,803,265,130,13,17,4,1578,299,4873,69.91,"2,507.04",
9/26/2017,107,73,1.76,1.72,719,293,113,12,16,4,1290,352,4873,68.15,"2,496.84",
9/25/2017,139,97,1.66,1.81,717,293,121,12,20,3,1206,357,4875,66.16,"2,496.66",
9/22/2017,111,44,1.78,1.94,712,281,114,13,24,2,1187,380,4874,63.59,"2,502.22",
9/21/2017,71,52,1.55,1.70,675,298,111,12,20,1,1102,406,4873,62.20,"2,500.60",
9/20/2017,132,53,1.58,1.75,703,302,127,12,24,2,1136,416,4872,63.29,"2,508.24",
9/19/2017,70,69,1.69,1.73,656,299,152,10,25,1,1094,446,4867,61.46,"2,506.65",
9/18/2017,101,55,1.95,1.61,678,288,129,9,24,1,1105,468,4867,62.06,"2,503.87",
9/15/2017,152,110,2.06,1.71,627,283,121,11,26,2,1049,495,4871,60.35,"2,500.23",
9/14/2017,98,62,1.84,1.87,616,301,99,10,20,1,996,517,4873,58.00,"2,495.62",
9/13/2017,180,60,1.90,1.96,605,297,85,9,22,2,998,528,4874,56.27,"2,498.37",
9/12/2017,143,58,1.76,1.85,578,314,85,14,20,1,938,592,4874,55.85,"2,496.48",
9/11/2017,148,60,1.35,1.89,553,339,95,15,21,1,860,667,4874,53.01,"2,488.11",
9/8/2017,77,111,1.41,1.89,526,382,97,15,20,2,814,772,4875,44.90,"2,461.43",
9/7/2017,169,88,1.91,2.21,556,372,79,24,17,5,855,774,4874,44.85,"2,465.10",
9/6/2017,131,62,2.03,2.25,525,367,68,36,16,4,822,737,4869,45.49,"2,465.54",
