,Primary Breadth Indicators,,,,,,Secondary Breadth Indicators,,,,,,,,,
Date,Number of stocks up 4% plus today,Number of stocks down 4% plus today,5 day ratio,10 day  ratio ,Number of stocks up 25% plus in a quarter,Number of stocks down 25% + in a quarter,Number of stocks up 25% + in a month,Number of stocks down 25% + in a month,Number of stocks up 50% + in a month,Number of stocks down 50% + in a month,Number of stocks up 13% + in 34 days,Number of stocks down 13% + in 34 days, Worden Common stock universe,T2108 ,S&P,
12/31/2019,172,39,1.69,1.84,1160,296,136,14,35,4,1230,444,5083,66.24,"3,230.78",
12/30/2019,118,102,1.54,1.69,1137,324,112,19,36,5,1197,493,5083,63.35,"3,221.29",
12/27/2019,90,118,1.71,1.68,1145,311,107,17,34,4,1220,454,5081,65.55,"3,240.02",
12/26/2019,161,87,2.21,1.99,1177,302,134,17,41,3,1315,430,5085,66.76,"3,239.91",
12/24/2019,66,14,2.21,1.95,1172,312,138,16,36,2,1332,454,5085,67.27,"3,223.38",
12/23/2019,143,55,1.97,1.90,1133,327,147,13,40,2,1326,492,5084,66.22,"3,224.01",
12/20/2019,166,93,1.81,1.81,1104,347,146,17,26,3,1298,533,5084,65.73,"3,221.22",
12/19/2019,162,67,1.66,1.92,1085,347,135,18,29,3,1290,547,5082,65.41,"3,205.37",
12/18/2019,150,82,1.84,1.73,1034,365,132,19,30,4,1330,582,5080,63.91,"3,191.14",
12/17/2019,147,92,1.79,1.76,1008,376,140,19,35,3,1301,612,5079,61.85,"3,192.52",
12/16/2019,213,130,1.84,1.72,965,394,114,21,38,4,1263,626,5079,60.15,"3,191.45",
12/13/2019,101,94,1.81,1.46,925,409,130,26,39,4,1221,658,5079,56.86,"3,168.80",
12/12/2019,272,82,2.20,1.54,949,393,133,28,40,4,1287,641,5073,58.26,"3,168.57",
12/11/2019,144,92,1.62,1.45,873,434,114,31,32,7,1205,657,5072,55.27,"3,141.63",
12/10/2019,148,78,1.73,1.39,846,423,123,31,32,7,1211,659,5072,54.68,"3,132.52",
12/9/2019,152,106,1.60,1.61,847,427,110,34,29,7,1213,664,5072,56.89,"3,135.96",
12/6/2019,210,63,1.21,1.74,895,436,122,40,30,8,1274,660,5067,59.33,"3,145.91",
12/5/2019,97,126,1.07,1.56,818,468,117,53,31,12,1162,734,5064,52.98,"3,117.43",
12/4/2019,176,80,1.30,1.60,876,463,109,58,29,11,1182,702,5064,52.56,"3,112.76",
12/3/2019,134,106,1.10,1.51,868,486,118,68,29,12,1123,749,5066,48.45,"3,093.20",
12/2/2019,129,240,1.62,1.37,893,485,120,63,27,12,1208,706,5066,52.81,"3,113.87",
11/29/2019,83,29,2.82,1.59,961,459,165,50,27,10,1358,639,5066,58.99,"3,140.98",
11/27/2019,125,41,2.33,1.44,1018,463,153,53,24,9,1411,634,5063,61.49,"3,153.63",
11/26/2019,124,123,1.92,1.29,1017,490,148,61,25,12,1431,672,5060,59.02,"3,140.52",
11/25/2019,336,59,1.98,1.26,1009,477,146,66,24,12,1497,654,5061,58.66,"3,133.64",
11/22/2019,170,45,1.16,1.02,880,521,133,77,21,16,1332,735,5062,53.68,"3,110.29",
11/21/2019,117,106,1.02,0.96,846,548,141,79,21,17,1274,767,5059,51.58,"3,103.54",
11/20/2019,140,128,0.95,0.97,850,544,152,87,23,19,1293,738,5055,54.89,"3,105.97",
11/19/2019,146,122,0.88,0.90,870,527,149,73,21,18,1356,718,5055,56.80,"3,120.18",
11/18/2019,103,183,0.82,0.90,840,533,134,81,15,18,1323,703,5054,57.98,"3,122.03",
11/15/2019,152,105,0.91,1.08,883,502,153,63,15,15,1361,669,5053,60.19,"3,120.46",
11/14/2019,102,142,0.91,1.24,859,521,131,71,11,15,1278,711,5053,57.10,"3,096.63",
11/13/2019,122,157,1.00,1.22,887,505,148,54,12,13,1296,688,5050,56.22,"3,094.04",
11/12/2019,131,159,0.91,1.19,918,493,151,55,18,11,1349,665,5053,56.91,"3,091.84",
