,Primary Breadth Indicators,,,,,,Secondary Breadth Indicators,,,,,,,,
Date,Number of stocks up 4% plus today,Number of stocks down 4% plus today,5 day ratio,10 day  ratio ,Number of stocks up 25% plus in a quarter,Number of stocks down 25% + in a quarter,Number of stocks up 25% + in a month,Number of stocks down 25% + in a month,Number of stocks up 50% + in a month,Number of stocks down 50% + in a month,Number of stocks up 13% + in 34 days,Number of stocks down 13% + in 34 days, Worden Common stock universe,T2108 ,S&P
1/2/2024,127,227,1.41,1.58,2278,470,315,41,52,24,2686,554,6223,75.26,"4,769.83"
12/29/2023,127,227,2.17,1.57,2278,470,315,41,52,24,2686,554,6223,75.26,"4,769.83"
12/28/2023,229,99,3.38,2.21,2380,446,403,42,71,25,2883,475,6224,77.67,"4,783.35"
12/27/2023,248,98,1.90,2.91,2398,454,480,43,83,21,2923,481,6223,77.87,"4,781.58"
12/26/2023,276,64,2.18,2.59,2379,449,468,39,77,23,2917,481,6232,78.25,"4,774.75"
12/22/2023,335,71,1.75,2.14,2272,469,351,42,69,22,2815,547,6238,77.09,"4,754.63"
12/21/2023,249,63,1.21,2.03,2169,503,341,36,60,17,2749,595,6239,77.04,"4,746.75"
12/20/2023,124,354,1.74,1.92,1998,544,282,33,49,18,2615,669,6243,74.59,"4,698.35"
12/19/2023,420,92,3.83,2.17,2178,509,307,38,56,21,2887,574,6250,78.35,"4,768.37"
12/18/2023,109,125,2.90,1.83,1967,557,263,37,48,17,2748,655,6249,75.28,"4,740.56"
12/15/2023,220,293,2.41,1.95,1994,565,344,30,59,16,2814,637,6251,74.17,"4,719.19"
12/14/2023,839,118,2.94,2.50,2042,547,293,30,45,13,2968,605,6253,76.04,"4,719.55"
12/13/2023,1157,88,2.12,2.01,1791,615,221,28,42,11,2800,665,6257,73.20,"4,707.09"
12/12/2023,132,223,0.93,1.44,1430,712,280,29,53,10,2480,840,6257,67.79,"4,643.70"
12/11/2023,123,305,0.91,1.57,1450,701,289,27,48,9,2526,781,6262,69.56,"4,622.44"
12/8/2023,233,112,1.36,1.64,1446,669,313,21,60,10,2556,714,6271,69.58,"4,604.37"
12/7/2023,196,141,2.01,1.68,1410,699,236,36,37,13,2534,738,6274,68.24,"4,585.59"
12/6/2023,215,182,1.90,1.70,1334,722,201,44,32,15,2426,756,6277,67.73,"4,549.34"
12/5/2023,122,241,2.07,1.61,1298,716,210,42,35,20,2429,768,6289,68.77,"4,567.18"
12/4/2023,331,128,2.56,1.87,1435,678,197,42,34,16,2619,695,6289,72.24,"4,569.78"
12/1/2023,675,72,1.91,1.92,1359,692,280,41,47,16,2518,729,6291,72.46,"4,594.63"
11/30/2023,206,193,1.34,1.34,1074,785,296,47,46,15,2164,853,6293,65.66,"4,567.80"
11/29/2023,261,136,1.46,1.47,1062,762,315,48,51,12,2119,825,6291,64.33,"4,550.58"
11/28/2023,222,132,1.11,2.50,974,785,302,47,48,13,2001,882,6295,64.42,"4,554.89"
11/27/2023,183,277,1.20,2.38,981,807,344,42,60,10,2051,894,6295,64.33,"4,550.43"
11/24/2023,142,20,1.94,2.54,1012,774,315,45,50,9,2112,822,6294,65.22,"4,559.34"
11/22/2023,145,87,1.34,1.86,915,827,299,52,42,12,2014,906,6297,63.40,"4,556.62"
11/21/2023,103,201,1.47,1.68,872,845,209,68,33,12,1948,930,6299,60.87,"4,538.19"
11/20/2023,259,107,4.09,1.73,968,791,282,57,44,10,2142,855,6297,64.13,"4,547.38"
11/17/2023,341,95,3.54,1.59,882,825,230,65,38,9,2024,882,6300,61.48,"4,514.02"
11/16/2023,98,216,2.93,1.78,795,884,166,87,24,15,1848,1004,6305,56.84,"4,508.24"
11/15/2023,280,116,2.20,2.23,874,823,148,79,21,17,2071,915,6309,63.19,"4,502.88"
11/14/2023,1594,95,1.80,2.09,805,863,106,105,15,16,1973,963,6310,60.86,"4,495.70"
11/13/2023,179,181,0.66,1.41,522,1087,61,139,12,17,1139,1335,6309,43.99,"4,411.55"
11/10/2023,198,194,0.61,1.45,502,1075,80,128,17,18,1105,1315,6310,43.26,"4,415.24"
11/9/2023,122,491,1.06,1.34,457,1110,56,130,12,23,995,1387,6309,38.66,"4,347.35"
11/8/2023,170,295,2.25,1.57,542,1059,58,125,11,18,1182,1217,6313,43.48,"4,382.78"
11/7/2023,234,214,2.54,1.43,570,1062,55,116,13,16,1325,1132,6319,44.84,"4,378.38"
11/6/2023,120,200,2.79,1.52,529,1092,55,100,9,14,1326,1191,6319,46.58,"4,365.98"
11/3/2023,711,80,3.14,1.47,618,1025,64,89,12,15,1546,1103,6324,51.64,"4,358.34"
11/2/2023,806,117,1.72,1.07,451,1164,49,91,8,16,1009,1360,6325,39.10,"4,317.78"
11/1/2023,196,204,0.95,0.66,342,1333,37,126,8,19,609,1703,6325,24.78,"4,237.86"
10/31/2023,273,155,0.70,0.57,337,1389,32,121,8,25,560,1788,6325,20.99,"4,193.80"
10/30/2023,211,144,0.72,0.58,303,1472,26,165,7,26,472,1893,6324,18.08,"4,166.82"
10/27/2023,101,304,0.57,0.63,280,1538,20,199,7,31,397,2050,6325,14.93,"4,117.37"
10/26/2023,181,201,0.58,0.69,311,1457,20,167,8,30,443,1927,6324,17.66,"4,137.23"
10/25/2023,90,420,0.45,0.57,304,1507,24,157,7,31,432,1975,6325,17.61,"4,186.77"
10/24/2023,282,133,0.44,0.64,318,1395,23,114,7,28,507,1768,6331,18.49,"4,247.68"
10/23/2023,88,243,0.46,0.69,299,1440,22,144,8,37,416,1901,6333,16.27,"4,217.04"
10/20/2023,87,251,0.70,0.73,317,1387,23,140,8,35,457,1839,6335,18.59,"4,224.16"
10/19/2023,72,324,0.81,0.85,340,1340,22,132,8,32,529,1845,6334,22.32,"4,278.00"
10/18/2023,63,386,0.70,0.96,386,1281,23,123,8,29,614,1692,6337,26.60,"4,314.60"
10/17/2023,278,84,0.87,1.09,434,1157,33,113,8,26,751,1466,6343,33.92,"4,373.20"
10/16/2023,299,94,0.95,0.84,409,1194,33,118,8,27,628,1589,6342,30.20,"4,373.63"
10/13/2023,162,185,0.76,0.65,381,1302,25,158,7,27,533,1769,6345,24.63,"4,327.78"
10/12/2023,98,533,0.89,0.67,381,1292,26,174,7,24,529,1725,6346,25.03,"4,349.61"
10/11/2023,135,217,1.41,0.84,413,1159,35,119,9,23,642,1445,6351,31.20,"4,376.95"
10/10/2023,360,80,1.41,0.93,423,1155,31,111,9,19,646,1415,6348,27.68,"4,358.24"
10/9/2023,161,189,0.73,0.76,376,1222,31,150,8,23,527,1590,6352,24.99,"4,335.66"
10/6/2023,223,76,0.54,0.75,380,1222,29,125,8,23,505,1654,6350,20.72,"4,308.50"
10/5/2023,182,193,0.48,0.66,367,1282,28,146,10,26,433,1776,6347,17.47,"4,258.19"
10/4/2023,128,209,0.51,0.56,349,1263,26,182,6,29,427,1811,6349,16.92,"4,263.75"
10/3/2023,84,393,0.63,0.56,378,1270,22,188,9,28,411,1840,6350,16.11,"4,229.45"
10/2/2023,76,411,0.78,0.65,404,1203,25,174,7,29,485,1614,6356,20.35,"4,288.39"
9/29/2023,163,105,1.13,0.75,471,1105,38,113,8,20,570,1495,6350,24.23,"4,288.05"
9/28/2023,184,135,0.97,0.69,480,1116,37,149,9,19,564,1578,6351,26.80,"4,299.70"
9/27/2023,223,119,0.63,0.74,468,1149,32,138,8,25,497,1720,6353,24.29,"4,274.51"
9/26/2023,111,198,0.49,0.64,443,1179,30,116,10,20,431,1797,6362,20.02,"4,273.53"
9/25/2023,130,159,0.53,0.67,486,1125,37,97,9,18,489,1714,6364,25.05,"4,337.44"
9/22/2023,98,161,0.48,0.72,486,1109,33,95,11,16,475,1801,6365,22.69,"4,320.06"
9/21/2023,84,382,0.50,0.73,499,1086,29,107,8,21,497,1778,6371,22.49,"4,330.00"
9/20/2023,94,164,0.86,0.75,541,998,33,83,14,23,588,1627,6369,29.65,"4,402.20"
9/19/2023,122,132,0.81,0.75,558,978,38,84,8,20,629,1596,6369,31.56,"4,443.95"
9/18/2023,76,151,0.82,0.66,577,965,49,83,10,19,647,1637,6369,32.78,"4,453.53"
9/15/2023,205,335,0.95,0.74,608,920,57,69,7,17,705,1563,6366,33.05,"4,450.32"
9/14/2023,258,94,1.06,0.77,632,899,49,73,8,19,752,1490,6364,35.87,"4,505.10"
9/13/2023,115,242,0.65,0.73,594,960,36,87,7,18,679,1670,6363,28.98,"4,467.44"
9/12/2023,147,160,0.69,0.91,633,921,35,90,7,16,724,1641,6367,31.88,"4,461.90"
9/11/2023,211,151,0.53,0.96,643,925,41,94,9,16,732,1644,6366,31.53,"4,487.46"
9/8/2023,101,137,0.56,0.94,628,939,41,94,11,14,697,1696,6369,30.29,"4,457.49"
9/7/2023,78,307,0.59,0.83,635,938,47,108,10,16,713,1706,6368,29.97,"4,451.14"
9/6/2023,95,163,0.82,1.05,703,870,49,115,13,17,780,1573,6370,31.13,"4,465.48"
